year,country,iso,pop,rgdpbarro,gdp,iy,cpi,ca,stir,ltrate,stocks,pubgdp,crisisJST,tloans,bassets2,lrgdp,lstocks,lcpi,cay,lpop,lloans,rprv,rpub,rtot,prvgdp,totgdp,bassgdp,riy,lriy,dlrgdp,dlriy,dlcpi,dlrcon,drprv,drpub,ldrprv,ldrpub,ldlrgdp,ldlcpi,ldlriy,lstir,lltrate,lcay,pk_nber,th_nber,rcn_nber,war,bb,rcn_bb,pk_bb,th_bb,pk_norm,pk_fin,pk_glob,pk_comb,ar_lrgdp_bb,ax_lrgdp_bb,dr_lrgdp_bb,dx_lrgdp_bb,rr_lrgdp_bb,rx_lrgdp_bb,ar_rprv_bb,ax_rprv_bb,dr_rprv_bb,dx_rprv_bb,rr_rprv_bb,rx_rprv_bb,ar_rpub_bb,ax_rpub_bb,dr_rpub_bb,dx_rpub_bb,rr_rpub_bb,rx_rpub_bb,ccode,ar_rtot_bb,ax_rtot_bb,dr_rtot_bb,dx_rtot_bb,rr_rtot_bb,rx_rtot_bb,srx_prv,srx_pub,f1war,l1war,f2war,l2war,f3war,f4war,f5war,war5f2l,core
1870,Australia,AUS,1775,13.6702,163.4,.1092656,2.708333,-22.08,488,487.8,.0316157828236648,,0,54.792,,2.6152182,-3.4540989,.9963333,-13.512852,7.4815559,4.0035443,-4.4743447,,,.33532435,,,1.4936826,.40124464,,,,,,,,,,,,,,,0,0,0,0,2.6152182,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,1,0,0,0,0,,,,,0,,0,,0,0,0,0,1
1871,Australia,AUS,1675,13.7697,156.8,.1045791,2.666667,-6.64,459.9999999999999,467.29,.0771708310400896,,0,53.748,,2.6224706,-2.5617337,.98082936,-4.234694,7.4235682,3.9843066,-4.4200912,,,.34278062,,,1.4400228,.36465895,.72524548,-3.6585689,-1.5503943,,5.4253578,,,,,,,488,487.79999,-13.512852,0,0,0,0,2.6224706,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,1,0,0,0,0,,,,,0,0,0,,0,0,0,0,1
1872,Australia,AUS,1722,14.8638,187.2,.130438,2.541667,-6.92,459.9999999999999,469.48,.085715048214339,,0,55.822,,2.6989288,-2.4567268,.93282014,-3.6965814,7.4512415,4.0221682,-4.3618937,,,.29819444,,,1.9388044,.66207147,7.6458216,29.741251,-4.8009214,,5.8197498,,5.4253578,,.72524548,-1.5503943,-3.6585689,460,467.29001,-4.234694,0,0,0,0,2.6989288,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,1,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1
1873,Australia,AUS,1769,16.0249,217.4,.1249862,2.541667,-24.82,439.9999999999999,471.7,.0976233445006246,,0,65.38000000000001,81.752,2.7741437,-2.3266387,.93282014,-11.416743,7.4781699,4.1802163,-4.2307739,,,.30073598,,.37604415,2.0028913,.69459176,7.5214863,3.2520294,0,,13.111973,,5.8197498,,7.6458216,-4.8009214,29.741251,460,469.48001,-3.6965814,1,0,0,0,2.7741437,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,1,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1
1874,Australia,AUS,1822,16.0731,219.4,.1419599,2.666667,-19.02,450,460.83,.1011054537141514,,0,71.47799999999999,88.39400000000001,2.7771471,-2.2915912,.98082936,-8.6690979,7.50769,4.2693896,-4.2191296,,,.32578853,,.4028897,2.2817357,.82493639,.30033588,13.034463,4.8009214,,1.1644363,,13.111973,,7.5214863,0,3.2520294,440,471.70001,-11.416743,0,0,1,0,2.7771471,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,1,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1
1875,Australia,AUS,1874,17.3811,237.6,.160564,2.75,-20.34,459.9999999999999,459,.1111368150584334,,0,79.95399999999999,97.852,2.8553834,-2.1969934,1.011601,-8.560606,7.5358305,4.3814516,-4.1659799,,,.33650672,,.41183501,2.7907789,1.0263207,7.8236341,20.138432,3.0771613,,5.31497,,1.1644363,,.30033588,4.8009214,13.034463,450,460.82999,-8.6690979,0,0,1,0,2.8553834,0,1,0,1,0,0,1,0,,0,,,,0,,0,,,,0,,0,,,,1,0,,0,,,,,,0,0,0,0,0,0,0,0,1
1876,Australia,AUS,1929,16.8149,235.6,.1678778,2.791667,-17.12,459.9999999999999,449,.1117764514040935,,0,86.206,106.062,2.8222654,-2.1912544,1.0266389,-7.2665534,7.5647569,4.4567399,-4.134656,,,.36589983,,.45017827,2.8228483,1.0377464,-3.311801,1.1425734,1.5037894,,3.132391,,5.31497,,7.8236341,3.0771613,20.138432,460,459,-8.560606,0,0,1,0,2.8222654,1,0,1,0,0,0,0,-.03311801,0,1,0,-.03311801,,.03132391,0,1,0,.03132391,,,0,1,0,,,1,,0,1,0,,,,,0,0,0,0,0,0,0,0,1
1877,Australia,AUS,1995,16.94,242,.2099336,2.875,-24.3,450,434.9999999999999,.1172133603422039,,0,101.036,118.73,2.8296776,-2.1437595,1.0560527,-10.041323,7.5983992,4.6154771,-4.0389748,,,.41750413,,.49061984,3.5562751,1.2687137,.74121952,23.096729,2.9413819,,9.568119,,3.132391,,-3.311801,1.5037894,1.1425734,460,449,-7.2665534,0,0,1,0,2.8296776,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,1,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1
1878,Australia,AUS,2062,17.9869,252.4,.181141,2.833333,-25.22,480,446,.1133755422682436,,0,106.648,122.76,2.8896437,-2.1770496,1.0414537,-9.9920759,7.6314316,4.6695337,-4.0033517,,,.42253566,,.48637083,3.2581651,1.1811641,5.9966087,-8.7549572,-1.4598966,,3.5623074,,9.568119,,.74121952,2.9413819,23.096729,450,435,-10.041323,0,0,1,0,2.8896437,0,1,0,1,0,0,1,0,.067378283,0,2,,.033689141,0,.13130426,0,2,,.065652132,0,,0,2,,,1,0,,0,2,,,2.8317914,,0,0,0,0,0,0,0,0,1
1879,Australia,AUS,2127,17.6727,257.2,.1615086,2.75,-20.52,490.0000000000001,450,.0972247245403274,,0,102.726,122.886,2.872021,-2.3307302,1.011601,-7.9782271,7.662468,4.6320653,-4.0420036,,,.39940125,,.47778383,2.8542931,1.0488242,-1.7622709,-13.233995,-2.9852748,,-3.8651943,,3.5623074,,5.9966087,-1.4598966,-8.7549572,480,446,-9.9920759,0,1,1,0,2.872021,1,0,1,0,0,0,0,-.017622709,0,1,0,-.017622709,,-.038651943,0,1,0,-.038651943,,,0,1,0,,,1,,0,1,0,,,,,0,0,0,0,0,0,0,0,1
